ID,Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Profesion_Construcción,Profesion_Empresarial,Profesion_Funcionario,Profesion_Otros,Profesion_Servicios,Profesion_Técnico,Zona_Centro,Zona_Levante,Zona_Noreste,Zona_Noroeste,Zona_Norte,Zona_Periferia,Zona_Sur,Campaña__0,Campaña__1,Campaña__3,Campaña__4,Campaña__5,Cluster_PCA,Cluster_tSNE,t-SNE1,t-SNE2,PC1,PC2
CLI10009,0,1,56,1,2,0,1,1,23165,661,30,0,269,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4,-24.201485,-37.39637,-0.5472752585075955,-1.0528721549915983
CLI1001,1,1,54,1,2,0,1,1,31813,1013,30,0,124,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,-24.139133,-35.862022,-0.4607215911582687,-1.0899796143443459
CLI10010,0,1,57,1,2,0,1,1,65881,857,50,0,100,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,4,-32.72291,-34.76154,-1.1433979398683496,-1.2635461466228517
CLI10011,1,0,58,1,2,0,1,1,98016,583,50,1,111,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,4,0.9771199,-56.699184,-1.4486818639876868,-1.4917584896612521
CLI10012,1,1,47,1,2,1,2,1,118920,622,50,1,299,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,-38.027924,23.41008,-1.8998579617019127,-0.12873665292024652
CLI10013,1,1,46,1,2,0,2,1,110986,1033,50,1,353,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,4,-37.41905,-27.467508,-1.1883472274723914,-0.9198896780002814
CLI10014,1,0,40,1,1,0,1,2,118745,985,50,0,594,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,4,25.020256,-40.46513,0.08364363658257612,-1.5594022216209622
CLI10015,1,0,40,1,1,0,2,2,28101,1537,30,0,213,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,44.25123,-36.566936,1.4308743630557372,-0.8028807466413784
CLI10016,0,0,44,1,2,0,1,1,41542,847,50,0,481,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,-4.3273296,-49.384686,-0.4128585284008095,-1.3600339394286187
CLI10017,1,1,52,1,2,1,3,1,86337,1717,80,0,315,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,-64.84574,-9.392963,-1.3617844616346244,0.32958169993428454
CLI10018,1,0,33,0,1,0,2,2,23343,1307,30,0,363,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,33.821804,-76.65967,1.6717194356494467,-0.742756713818818
CLI10019,0,1,58,1,2,0,1,1,120481,1737,50,0,336,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,-49.317295,-68.9528,-1.5260813314715538,-1.487459738438453
CLI1002,0,0,56,1,2,0,1,1,33444,1209,30,0,407,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,-8.227471,-42.878487,-0.2956433874281012,-1.2486279783468623
CLI10020,1,1,50,1,2,1,2,1,63085,994,50,0,58,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,-36.24869,30.241953,-1.246557694315079,0.015507340871039152
CLI10021,1,0,36,1,1,0,5,2,18101,686,30,0,51,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,25.584925,1.4318146,1.721536847385615,0.7480373482958641
CLI10022,0,0,44,1,2,0,2,1,44724,732,50,0,447,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,-6.2183723,-80.0951,-0.49404798816346795,-0.9276105933898535
CLI10023,0,1,40,1,1,0,1,2,56314,156,50,0,463,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,13.7193,-13.450775,0.2801997173522611,-1.2116445761898917
CLI10024,1,0,35,0,1,0,4,2,25008,1974,30,0,316,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,13.165427,8.942584,2.0468460726194837,0.20222097843984074
CLI10025,0,1,56,1,2,0,2,1,22001,1756,30,0,580,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,4,-36.576736,-48.190857,-0.13876512055118412,-0.6474203338829568
CLI10026,0,0,54,1,2,0,1,1,21769,642,30,0,493,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,4,-7.951237,-70.64488,-0.4351834570508313,-1.2474816339902894
CLI10027,1,1,89,0,2,0,1,0,118924,1267,120,1,378,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,-80.59616,-54.1593,-3.7089571353709463,-1.7511461877088788
CLI10028,1,1,79,1,2,1,4,0,90739,74,80,0,129,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,-58.64261,10.704312,-3.273255211328745,0.8296367718563964
CLI10029,0,0,77,1,2,0,2,1,123905,798,50,0,114,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,-16.536636,-81.73576,-2.1131021807584975,-1.1123608108725855
CLI1003,1,0,44,1,2,0,2,1,117230,1307,50,1,124,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,-13.134042,-92.44743,-1.0495532049598024,-1.1448598689556544
CLI10030,1,0,23,0,0,0,3,3,15394,2202,30,1,304,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,99.10198,23.7116,3.5909907169738107,-0.2548308005458115
CLI10031,1,0,23,0,0,0,5,3,22448,1719,30,1,382,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,55.614407,38.57907,3.536266000555507,0.7102435819961727
CLI10032,0,1,45,0,2,1,4,1,86899,1123,30,0,542,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,3,-8.657368,21.383747,-0.8358838338532506,1.0450591241341272
CLI10033,0,0,54,0,2,0,1,1,112072,955,120,0,389,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,-75.246185,-33.497494,-2.035316201385053,-1.8555264258157462
CLI10034,0,0,56,0,2,0,1,1,102706,955,120,0,316,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,-75.66628,-33.55941,-1.985186066711838,-1.8277628492756657
CLI10035,1,1,31,0,0,1,5,2,30641,1606,30,0,394,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,44.11909,57.309925,2.1075527856948577,1.689067508027181
CLI10036,1,0,41,1,1,0,2,2,74453,1054,50,0,449,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,23.278791,-42.382854,0.651165954012101,-0.9547072487609871
CLI10038,1,0,21,0,0,0,4,3,21922,1892,30,1,359,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,65.29102,58.66387,3.5556538001164144,0.2195934341969991
CLI10039,0,0,35,0,1,0,3,2,29858,1836,30,1,389,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,46.957264,-61.400513,1.8464839350220723,-0.29108521241979085
CLI10040,0,1,56,0,2,0,1,1,116712,1482,120,1,120,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,-82.263084,-38.60959,-2.203124130097866,-1.7801243841657937
CLI10041,1,1,29,0,0,0,2,2,18405,2651,30,0,53,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,82.28117,-6.748642,2.7221582926271632,-0.6120401150571105
CLI10042,1,1,67,0,2,0,1,1,81561,818,120,0,468,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,-86.05452,-36.546383,-2.3438730961587693,-1.6509410873213972
CLI10043,0,1,56,1,2,1,4,1,35364,759,30,0,95,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,3,-16.996675,41.119396,-0.797298187922915,1.1625226776029352
CLI10044,0,1,50,1,2,1,3,1,96083,896,80,0,347,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,-72.31425,9.251264,-1.8208967193872074,0.2801665698890028
CLI10045,1,1,32,1,1,2,2,2,18234,1997,30,0,519,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,21.238033,73.47779,1.1466761378173747,1.089288426234493
CLI10046,1,1,52,0,2,0,5,1,48556,622,30,0,353,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,4,-29.194641,-46.123295,-0.4421430447921172,0.765385076692641
CLI10047,1,0,28,1,0,0,2,2,28126,2099,30,1,378,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,87.24777,-17.313936,2.6007015821897554,-0.7719591373252367
CLI10048,1,0,44,0,2,0,5,1,81077,2066,30,0,585,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,4,-6.844326,-34.24847,0.20233542580758773,0.5185046019087564
CLI10049,1,0,50,1,2,0,1,1,51599,1619,50,1,321,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,-2.2407835,-77.85288,-0.4865034319985039,-1.4531467525476571
CLI1005,0,1,81,1,2,0,1,0,22520,1697,30,0,220,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,-31.88644,-6.305049,-1.4725060836945678,-1.111608590319373
CLI10050,1,1,35,1,1,1,2,2,21382,1767,30,0,588,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,24.216206,28.897997,1.3043636460869403,0.24553493845791588
CLI10051,1,1,42,1,2,0,3,2,90912,2066,30,0,46,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,-0.55903304,-24.658253,0.28438442937361147,-0.3701561724109166
CLI10052,0,0,42,1,2,0,2,2,56181,732,50,0,526,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,4,11.469436,-32.33465,0.031001124622776155,-0.954798910131506
CLI10053,0,1,53,1,2,0,3,1,70540,1013,80,0,55,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,-53.161205,-27.985786,-1.1288190772803421,-0.44908964797626405
CLI10054,0,0,78,1,2,0,1,1,113998,74,50,0,414,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,4,-15.999887,-57.60382,-2.2929637093635926,-1.4983413936039556
CLI10055,0,1,51,1,2,0,3,1,50710,857,30,0,264,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,-31.617466,-49.116734,-0.5512653820360491,-0.21800610502683268
CLI10056,0,1,51,1,2,0,2,1,86652,935,50,1,361,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,-38.44986,-69.451836,-1.1931163181808282,-0.8918062358679668
CLI10058,1,1,47,0,2,0,3,1,125707,1697,200,0,484,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,-96.04723,19.253847,-2.46686488420374,-1.1584638805295926
CLI10059,0,0,42,1,2,0,4,2,41471,1836,30,0,597,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,6.691244,-20.051817,0.9804117939409007,0.10725424896633204
CLI1006,1,0,30,1,0,0,2,2,24574,1514,30,1,168,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,87.37415,-22.297066,2.3748316817795794,-0.74133410365063
CLI10060,1,0,28,1,0,0,4,2,20959,1754,30,0,466,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,66.50042,2.0368855,2.7469029440569486,0.22766628267679198
CLI10061,0,1,51,1,2,0,4,1,74075,1209,80,0,426,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1,-52.44864,-27.757988,-0.946946695346997,0.017278366566216494
CLI10062,0,0,31,1,0,0,3,2,28041,1445,30,0,158,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,65.03106,-13.353053,2.3869332341075773,-0.26313241506268437
CLI10063,0,0,45,1,2,0,4,1,109478,1238,30,0,161,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,-8.8561535,-30.814411,-0.5244480881649742,-0.01614692837474299
CLI10064,0,0,35,1,1,0,5,2,26148,179,30,0,130,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,25.536768,-5.4203305,1.3711071896316418,0.6942325383485097
CLI10065,0,0,23,0,0,0,4,3,13024,203,30,0,485,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,71.05332,25.297222,2.981403245436236,0.3003534560069423
CLI10067,1,0,30,0,0,0,5,2,25282,1307,30,0,288,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,55.71034,8.012061,2.586892679910354,0.7167127469187498
CLI10068,1,1,44,1,2,1,2,1,34194,1698,30,1,171,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,3,-30.11381,46.157635,-0.3443232336336513,0.1541394293755475
CLI10069,0,1,75,0,2,0,1,1,53833,1111,30,1,398,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,4,-28.793354,-32.744244,-1.170643899772815,-1.131578829340173
CLI1007,1,1,77,1,2,2,2,1,74519,681,50,0,350,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,-15.861523,86.20914,-2.4905381650062113,0.8680450745332853
CLI10070,0,0,28,0,0,0,7,2,19814,1374,30,0,492,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,51.267574,12.561731,2.9151029889691142,1.696352717780245
CLI10071,1,0,31,0,0,0,4,2,24129,939,30,0,379,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,58.37383,-1.5959414,2.3411963570420635,0.2482985544914296
CLI10072,1,0,31,0,0,0,8,2,30178,847,30,0,76,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,49.028435,11.901526,2.6374660648557384,2.172452783498773
CLI10073,1,0,30,0,0,0,3,2,28894,732,30,0,105,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,57.197784,-15.718475,2.140861159102341,-0.2436008077979814
CLI10075,1,1,51,0,2,0,9,1,50742,1267,30,0,254,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,-9.523249,-23.100725,0.2935511961693359,2.7223951392727206
CLI10076,0,0,36,0,1,0,4,2,23367,1399,30,0,495,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,6.0375056,2.041086,1.828878441564357,0.22624211138678527
CLI10077,0,1,44,1,2,1,3,1,108678,663,30,0,246,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,3,-11.453513,22.520132,-1.3088427432274559,0.5146476544332533
CLI10078,0,1,53,0,2,1,7,1,110010,1052,30,0,198,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,3,-6.785337,35.478474,-1.1100826092624008,2.3986738500563924
CLI10079,1,1,46,0,2,2,5,1,74824,1561,30,0,213,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3,0.4915815,61.580982,-0.8221792045007517,2.3952206342035476
CLI1008,0,1,68,1,2,0,2,1,61865,779,50,0,335,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,-38.941372,-64.276665,-1.4037090005003532,-0.801098891311098
CLI10080,1,0,62,1,2,0,1,1,65149,1424,50,1,117,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,-5.8994255,-85.37462,-0.9944492062190488,-1.4715026983015407
CLI10081,0,0,56,1,2,0,1,1,80564,1033,50,0,506,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,4,-0.5697909,-52.866158,-1.0503116263663208,-1.4604639242277662
CLI10082,0,0,30,1,0,0,1,2,24531,1629,30,0,262,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,98.11557,-18.788712,2.3189749987469184,-1.2293571206550058
CLI10083,0,0,28,1,0,0,3,2,22954,1754,30,1,370,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,69.2677,-10.612058,2.6273289334554226,-0.2622480208589097
CLI10084,0,1,56,0,2,2,2,1,82472,818,120,0,381,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,-90.9457,-14.8030405,-2.683472014883468,0.5108182979215684
CLI10085,0,1,29,1,0,1,2,2,18414,303,30,1,247,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,39.588245,56.99481,1.512328447316024,0.3090388599568967
CLI10086,0,0,39,1,1,0,1,2,23732,847,30,0,250,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,15.146532,-76.293015,1.253813797812739,-1.207223351640361
CLI10088,1,0,33,0,1,0,3,2,18298,847,30,0,519,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,62.61317,-52.3153,1.6548286169139463,-0.2296980016112396
CLI10089,0,0,45,1,2,0,1,1,91130,663,50,0,288,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4,0.85206586,-55.30728,-1.0289159980261684,-1.4890193569141055
CLI1009,1,0,41,1,1,0,1,2,100722,156,50,0,95,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4,14.306651,-17.749235,-0.1581877941906773,-1.5293024025376285
CLI10090,1,1,46,1,2,0,3,1,39822,115,30,0,197,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,-22.679241,-48.852184,-0.5861355426074133,-0.16952992853253626
CLI10091,0,1,44,1,2,2,5,1,65803,1307,30,0,577,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4,3,1.237687,65.50364,-0.8749804068548174,2.379032320961822
CLI10092,1,0,40,1,1,0,1,2,82317,1744,50,1,270,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,25.801199,-43.608078,0.7470456506901441,-1.483929230381575
CLI10093,0,0,43,1,2,0,1,2,36678,1928,50,1,294,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,14.755518,-32.63355,0.552853931779952,-1.4231700790299033
CLI10094,1,1,44,1,2,2,3,1,121189,1146,200,0,400,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,-101.377174,15.017196,-3.245115341348389,0.5597903014373552
CLI10095,0,1,44,1,2,1,2,1,59561,1238,50,0,245,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,3,-21.641014,4.1046658,-0.8693523026774835,0.058059140801957065
CLI10096,1,0,31,1,0,0,6,2,28964,686,30,1,379,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,49.60077,8.714296,2.2904108175406277,1.165070358792121
CLI10097,0,0,34,1,1,0,1,2,20958,1008,30,1,376,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,13.613455,-73.63882,1.4643507527812,-1.2100109131254024
CLI10098,1,0,45,1,2,0,1,1,91295,1652,50,0,396,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,4,-8.000219,-88.88241,-0.7718153635257877,-1.5682495188837116
CLI10099,0,0,31,1,0,0,5,2,21062,1698,30,0,358,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,57.779266,10.64704,2.750461541895842,0.716759673636352
CLI101,1,1,33,0,1,1,3,2,26010,1169,30,1,152,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,29.999262,31.20155,1.1834867757726024,0.7344233631649204
CLI1010,0,0,44,0,2,0,3,1,82413,709,30,1,128,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,-9.090687,-32.29279,-0.5064342637244599,-0.41043829246187413
CLI10100,1,0,33,1,1,0,1,2,22697,2043,30,0,448,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,25.802906,-56.20958,1.8499856794945693,-1.2490837386434135
CLI10101,0,0,33,1,1,0,1,2,22806,1008,30,0,134,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,13.127054,-73.50313,1.4692514686494182,-1.2161207331888721
CLI10102,0,0,42,1,2,0,2,2,42794,893,50,0,474,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,11.792114,-32.18455,0.23154702947068395,-0.9232733810531252
CLI10103,1,1,47,1,2,0,1,1,115634,818,50,0,395,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,-42.192947,-73.43803,-1.5431147418810052,-1.4561182063178222
CLI10104,1,0,32,1,1,0,1,2,19515,1192,30,0,543,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,16.460125,-69.866425,1.5959523721252822,-1.2140555315974293
CLI10105,0,0,33,1,1,0,3,2,24037,1859,30,0,129,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,47.012634,-62.632603,1.9653146543273228,-0.27795376731068067
CLI10106,1,1,30,1,0,0,2,2,30553,1813,30,1,108,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,79.569435,-31.03681,2.2619875506167397,-0.6173685914079907
CLI10107,0,1,53,1,2,1,2,1,112595,1287,50,0,353,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,-41.48152,22.834558,-1.7357208112955167,-0.1265063096770171
CLI10108,0,0,56,1,2,0,1,1,42569,759,50,0,498,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,4,-8.1079,-75.25126,-0.8530622072302108,-1.3944918630576686
CLI10109,0,0,53,1,2,0,1,1,129312,974,50,0,188,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,4.5539236,-55.77478,-1.513911229589179,-1.5953382573456716
CLI1011,1,0,52,1,2,0,1,1,79139,1658,50,0,452,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,-6.471269,-87.47583,-0.8121644528444174,-1.5278119198901159
CLI10110,0,0,31,1,0,0,1,2,21533,1974,30,0,504,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,95.80849,-14.537294,2.452757077638644,-1.2311819243052897
CLI10111,0,0,44,1,2,0,1,1,86268,1146,50,0,351,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,-14.915893,-86.44873,-0.8798197670249527,-1.5392506382309985
CLI10112,1,1,56,1,2,0,2,1,91677,896,50,1,222,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,-39.361866,-69.68115,-1.3827032013940217,-0.8991103617204402
CLI10113,0,1,40,0,1,0,2,2,49599,1468,30,0,416,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,29.268188,-24.70429,1.122899892504164,-0.6626388319884786
CLI10114,0,0,56,1,2,0,1,1,67106,759,50,0,56,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,-2.3802202,-52.383305,-1.0085497561374512,-1.4147641469721488
CLI10115,1,1,50,1,2,2,4,1,67996,7,80,1,137,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,-69.48129,23.6351,-1.9963170403125674,1.7628204288490883
CLI10116,1,0,44,1,2,0,1,1,109040,1261,50,1,218,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,4,-14.508432,-90.01235,-1.0783426797776845,-1.6053743538883938
CLI10117,1,0,44,1,2,0,1,1,125899,1629,50,1,199,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,4,-12.266639,-91.17734,-1.1215787979766279,-1.663418631997164
CLI10118,1,1,45,1,2,0,2,1,108619,1606,50,0,492,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,-52.108532,-65.31373,-1.0326158616572134,-0.9798531719623754
CLI10119,1,1,47,1,2,1,4,1,98845,1306,80,1,306,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,-62.55566,-8.462448,-1.4240690690163618,0.7877270484515037
