ID,Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Campaña__0,Campaña__1,Campaña__3,Campaña__4,Campaña__5,Cluster_PCA,Profesion,Zona
CLI10009,Femenino,Sí,56,Sí,+20annos,Bajo,1,Generacion X,23165,661,30,No,269,1,0,0,0,0,2,Construcción,Sur
CLI1001,Masculino,Sí,54,Sí,+20annos,Bajo,1,Generacion X,31813,1013,30,No,124,1,0,0,0,0,2,Otros,Noroeste
CLI10010,Femenino,Sí,57,Sí,+20annos,Bajo,1,Generacion X,65881,857,50,No,100,1,0,0,0,0,2,Técnico,Sur
CLI10011,Masculino,No,58,Sí,+20annos,Bajo,1,Generacion X,98016,583,50,Sí,111,1,0,0,0,0,2,Técnico,Noroeste
CLI10012,Masculino,Sí,47,Sí,+20annos,Medio,2,Generacion X,118920,622,50,Sí,299,1,0,0,0,0,1,Servicios,Periferia
CLI10013,Masculino,Sí,46,Sí,+20annos,Bajo,2,Generacion X,110986,1033,50,Sí,353,0,0,0,0,1,2,Técnico,Centro
CLI10014,Masculino,No,40,Sí,10-20annos,Bajo,1,Millennials,118745,985,50,No,594,0,0,0,1,0,2,Técnico,Sur
CLI10015,Masculino,No,40,Sí,10-20annos,Bajo,2,Millennials,28101,1537,30,No,213,1,0,0,0,0,0,Servicios,Noroeste
CLI10016,Femenino,No,44,Sí,+20annos,Bajo,1,Generacion X,41542,847,50,No,481,0,0,1,0,0,2,Funcionario,Centro
CLI10017,Masculino,Sí,52,Sí,+20annos,Medio,3,Generacion X,86337,1717,80,No,315,0,0,0,0,1,1,Otros,Noroeste
CLI10018,Masculino,No,33,No,10-20annos,Bajo,2,Millennials,23343,1307,30,No,363,0,0,0,0,1,0,Técnico,Noroeste
CLI10019,Femenino,Sí,58,Sí,+20annos,Bajo,1,Generacion X,120481,1737,50,No,336,0,0,0,0,1,2,Servicios,Noroeste
CLI1002,Femenino,No,56,Sí,+20annos,Bajo,1,Generacion X,33444,1209,30,No,407,0,0,1,0,0,2,Otros,Periferia
CLI10020,Masculino,Sí,50,Sí,+20annos,Medio,2,Generacion X,63085,994,50,No,58,1,0,0,0,0,2,Servicios,Noreste
CLI10021,Masculino,No,36,Sí,10-20annos,Bajo,5,Millennials,18101,686,30,No,51,1,0,0,0,0,0,Funcionario,Noreste
CLI10022,Femenino,No,44,Sí,+20annos,Bajo,2,Generacion X,44724,732,50,No,447,0,0,1,0,0,2,Servicios,Centro
CLI10023,Femenino,Sí,40,Sí,10-20annos,Bajo,1,Millennials,56314,156,50,No,463,0,1,0,0,0,0,Empresarial,Noreste
CLI10024,Masculino,No,35,No,10-20annos,Bajo,4,Millennials,25008,1974,30,No,316,0,0,0,0,1,0,Técnico,Noreste
CLI10025,Femenino,Sí,56,Sí,+20annos,Bajo,2,Generacion X,22001,1756,30,No,580,0,1,0,0,0,2,Servicios,Sur
CLI10026,Femenino,No,54,Sí,+20annos,Bajo,1,Generacion X,21769,642,30,No,493,0,0,1,0,0,2,Servicios,Sur
CLI10027,Masculino,Sí,89,No,+20annos,Bajo,1,Generacion Silenciosa,118924,1267,120,Sí,378,0,0,1,0,0,2,Servicios,Noroeste
CLI10028,Masculino,Sí,79,Sí,+20annos,Medio,4,Generacion Silenciosa,90739,74,80,No,129,1,0,0,0,0,1,Servicios,Centro
CLI10029,Femenino,No,77,Sí,+20annos,Bajo,2,Generacion X,123905,798,50,No,114,1,0,0,0,0,2,Servicios,Noroeste
CLI1003,Masculino,No,44,Sí,+20annos,Bajo,2,Generacion X,117230,1307,50,Sí,124,1,0,0,0,0,2,Servicios,Noroeste
CLI10030,Masculino,No,23,No,<10annos,Bajo,3,Generacion Z,15394,2202,30,Sí,304,0,0,0,0,1,3,Funcionario,Noroeste
CLI10031,Masculino,No,23,No,<10annos,Bajo,5,Generacion Z,22448,1719,30,Sí,382,0,0,1,0,0,3,Funcionario,Centro
CLI10032,Femenino,Sí,45,No,+20annos,Medio,4,Generacion X,86899,1123,30,No,542,0,0,0,1,0,4,Otros,Norte
CLI10033,Femenino,No,54,No,+20annos,Bajo,1,Generacion X,112072,955,120,No,389,0,0,1,0,0,2,Técnico,Centro
CLI10034,Femenino,No,56,No,+20annos,Bajo,1,Generacion X,102706,955,120,No,316,0,0,0,0,1,2,Otros,Centro
CLI10035,Masculino,Sí,31,No,<10annos,Medio,5,Millennials,30641,1606,30,No,394,0,0,1,0,0,3,Funcionario,Norte
CLI10036,Masculino,No,41,Sí,10-20annos,Bajo,2,Millennials,74453,1054,50,No,449,0,0,1,0,0,0,Funcionario,Centro
CLI10038,Masculino,No,21,No,<10annos,Bajo,4,Generacion Z,21922,1892,30,Sí,359,0,0,0,0,1,3,Funcionario,Sur
CLI10039,Femenino,No,35,No,10-20annos,Bajo,3,Millennials,29858,1836,30,Sí,389,0,0,1,0,0,0,Funcionario,Noroeste
CLI10040,Femenino,Sí,56,No,+20annos,Bajo,1,Generacion X,116712,1482,120,Sí,120,1,0,0,0,0,2,Servicios,Norte
CLI10041,Masculino,Sí,29,No,<10annos,Bajo,2,Millennials,18405,2651,30,No,53,1,0,0,0,0,3,Otros,Noroeste
CLI10042,Masculino,Sí,67,No,+20annos,Bajo,1,Generacion X,81561,818,120,No,468,0,0,1,0,0,2,Servicios,Periferia
CLI10043,Femenino,Sí,56,Sí,+20annos,Medio,4,Generacion X,35364,759,30,No,95,1,0,0,0,0,4,Servicios,Noroeste
CLI10044,Femenino,Sí,50,Sí,+20annos,Medio,3,Generacion X,96083,896,80,No,347,0,0,0,0,1,1,Servicios,Sur
CLI10045,Masculino,Sí,32,Sí,10-20annos,Alto,2,Millennials,18234,1997,30,No,519,0,0,0,1,0,0,Otros,Noroeste
CLI10046,Masculino,Sí,52,No,+20annos,Bajo,5,Generacion X,48556,622,30,No,353,0,0,0,0,1,4,Servicios,Centro
CLI10047,Masculino,No,28,Sí,<10annos,Bajo,2,Millennials,28126,2099,30,Sí,378,0,0,1,0,0,0,Técnico,Sur
CLI10048,Masculino,No,44,No,+20annos,Bajo,5,Generacion X,81077,2066,30,No,585,0,0,0,1,0,4,Empresarial,Centro
CLI10049,Masculino,No,50,Sí,+20annos,Bajo,1,Generacion X,51599,1619,50,Sí,321,0,0,0,0,1,2,Servicios,Centro
CLI1005,Femenino,Sí,81,Sí,+20annos,Bajo,1,Generacion Silenciosa,22520,1697,30,No,220,1,0,0,0,0,2,Servicios,Norte
CLI10050,Masculino,Sí,35,Sí,10-20annos,Medio,2,Millennials,21382,1767,30,No,588,0,0,0,1,0,0,Otros,Centro
CLI10051,Masculino,Sí,42,Sí,+20annos,Bajo,3,Millennials,90912,2066,30,No,46,1,0,0,0,0,0,Servicios,Levante
CLI10052,Femenino,No,42,Sí,+20annos,Bajo,2,Millennials,56181,732,50,No,526,0,0,0,1,0,2,Servicios,Sur
CLI10053,Femenino,Sí,53,Sí,+20annos,Bajo,3,Generacion X,70540,1013,80,No,55,1,0,0,0,0,2,Técnico,Noroeste
CLI10054,Femenino,No,78,Sí,+20annos,Bajo,1,Generacion X,113998,74,50,No,414,0,0,1,0,0,2,Técnico,Noreste
CLI10055,Femenino,Sí,51,Sí,+20annos,Bajo,3,Generacion X,50710,857,30,No,264,1,0,0,0,0,2,Servicios,Noreste
CLI10056,Femenino,Sí,51,Sí,+20annos,Bajo,2,Generacion X,86652,935,50,Sí,361,0,0,0,0,1,2,Servicios,Centro
CLI10058,Masculino,Sí,47,No,+20annos,Bajo,3,Generacion X,125707,1697,200,No,484,0,0,1,0,0,2,Otros,Periferia
CLI10059,Femenino,No,42,Sí,+20annos,Bajo,4,Millennials,41471,1836,30,No,597,0,1,0,0,0,0,Servicios,Norte
CLI1006,Masculino,No,30,Sí,<10annos,Bajo,2,Millennials,24574,1514,30,Sí,168,1,0,0,0,0,0,Funcionario,Periferia
CLI10060,Masculino,No,28,Sí,<10annos,Bajo,4,Millennials,20959,1754,30,No,466,0,0,1,0,0,3,Funcionario,Noroeste
CLI10061,Femenino,Sí,51,Sí,+20annos,Bajo,4,Generacion X,74075,1209,80,No,426,0,0,1,0,0,2,Técnico,Noroeste
CLI10062,Femenino,No,31,Sí,<10annos,Bajo,3,Millennials,28041,1445,30,No,158,1,0,0,0,0,0,Técnico,Periferia
CLI10063,Femenino,No,45,Sí,+20annos,Bajo,4,Generacion X,109478,1238,30,No,161,1,0,0,0,0,2,Otros,Levante
CLI10064,Femenino,No,35,Sí,10-20annos,Bajo,5,Millennials,26148,179,30,No,130,1,0,0,0,0,0,Servicios,Sur
CLI10065,Femenino,No,23,No,<10annos,Bajo,4,Generacion Z,13024,203,30,No,485,0,0,1,0,0,3,Funcionario,Centro
CLI10067,Masculino,No,30,No,<10annos,Bajo,5,Millennials,25282,1307,30,No,288,1,0,0,0,0,3,Funcionario,Noroeste
CLI10068,Masculino,Sí,44,Sí,+20annos,Medio,2,Generacion X,34194,1698,30,Sí,171,1,0,0,0,0,4,Servicios,Noroeste
CLI10069,Femenino,Sí,75,No,+20annos,Bajo,1,Generacion X,53833,1111,30,Sí,398,0,0,1,0,0,2,Técnico,Periferia
CLI1007,Masculino,Sí,77,Sí,+20annos,Alto,2,Generacion X,74519,681,50,No,350,0,0,0,0,1,1,Servicios,Noreste
CLI10070,Femenino,No,28,No,<10annos,Bajo,7,Millennials,19814,1374,30,No,492,0,0,1,0,0,3,Construcción,Centro
CLI10071,Masculino,No,31,No,<10annos,Bajo,4,Millennials,24129,939,30,No,379,0,0,1,0,0,3,Funcionario,Sur
CLI10072,Masculino,No,31,No,<10annos,Bajo,8,Millennials,30178,847,30,No,76,1,0,0,0,0,3,Empresarial,Noroeste
CLI10073,Masculino,No,30,No,<10annos,Bajo,3,Millennials,28894,732,30,No,105,1,0,0,0,0,0,Otros,Noroeste
CLI10075,Masculino,Sí,51,No,+20annos,Bajo,9,Generacion X,50742,1267,30,No,254,1,0,0,0,0,4,Empresarial,Sur
CLI10076,Femenino,No,36,No,10-20annos,Bajo,4,Millennials,23367,1399,30,No,495,0,0,1,0,0,0,Otros,Norte
CLI10077,Femenino,Sí,44,Sí,+20annos,Medio,3,Generacion X,108678,663,30,No,246,1,0,0,0,0,4,Técnico,Noroeste
CLI10078,Femenino,Sí,53,No,+20annos,Medio,7,Generacion X,110010,1052,30,No,198,1,0,0,0,0,4,Servicios,Norte
CLI10079,Masculino,Sí,46,No,+20annos,Alto,5,Generacion X,74824,1561,30,No,213,1,0,0,0,0,4,Empresarial,Sur
CLI1008,Femenino,Sí,68,Sí,+20annos,Bajo,2,Generacion X,61865,779,50,No,335,0,0,0,0,1,2,Servicios,Noroeste
CLI10080,Masculino,No,62,Sí,+20annos,Bajo,1,Generacion X,65149,1424,50,Sí,117,1,0,0,0,0,2,Servicios,Noroeste
CLI10081,Femenino,No,56,Sí,+20annos,Bajo,1,Generacion X,80564,1033,50,No,506,0,0,0,1,0,2,Técnico,Noroeste
CLI10082,Femenino,No,30,Sí,<10annos,Bajo,1,Millennials,24531,1629,30,No,262,1,0,0,0,0,0,Funcionario,Centro
CLI10083,Femenino,No,28,Sí,<10annos,Bajo,3,Millennials,22954,1754,30,Sí,370,0,0,1,0,0,3,Técnico,Noroeste
CLI10084,Femenino,Sí,56,No,+20annos,Alto,2,Generacion X,82472,818,120,No,381,0,0,1,0,0,1,Servicios,Levante
CLI10085,Femenino,Sí,29,Sí,<10annos,Medio,2,Millennials,18414,303,30,Sí,247,1,0,0,0,0,0,Funcionario,Centro
CLI10086,Femenino,No,39,Sí,10-20annos,Bajo,1,Millennials,23732,847,30,No,250,1,0,0,0,0,0,Técnico,Sur
CLI10088,Masculino,No,33,No,10-20annos,Bajo,3,Millennials,18298,847,30,No,519,0,0,0,1,0,0,Funcionario,Centro
CLI10089,Femenino,No,45,Sí,+20annos,Bajo,1,Generacion X,91130,663,50,No,288,1,0,0,0,0,2,Funcionario,Sur
CLI1009,Masculino,No,41,Sí,10-20annos,Bajo,1,Millennials,100722,156,50,No,95,1,0,0,0,0,2,Servicios,Sur
CLI10090,Masculino,Sí,46,Sí,+20annos,Bajo,3,Generacion X,39822,115,30,No,197,1,0,0,0,0,2,Servicios,Noroeste
CLI10091,Femenino,Sí,44,Sí,+20annos,Alto,5,Generacion X,65803,1307,30,No,577,0,1,0,0,0,4,Servicios,Sur
CLI10092,Masculino,No,40,Sí,10-20annos,Bajo,1,Millennials,82317,1744,50,Sí,270,1,0,0,0,0,0,Otros,Centro
CLI10093,Femenino,No,43,Sí,+20annos,Bajo,1,Millennials,36678,1928,50,Sí,294,1,0,0,0,0,0,Servicios,Noreste
CLI10094,Masculino,Sí,44,Sí,+20annos,Alto,3,Generacion X,121189,1146,200,No,400,0,0,1,0,0,1,Empresarial,Noroeste
CLI10095,Femenino,Sí,44,Sí,+20annos,Medio,2,Generacion X,59561,1238,50,No,245,1,0,0,0,0,2,Técnico,Norte
CLI10096,Masculino,No,31,Sí,<10annos,Bajo,6,Millennials,28964,686,30,Sí,379,0,0,1,0,0,3,Servicios,Centro
CLI10097,Femenino,No,34,Sí,10-20annos,Bajo,1,Millennials,20958,1008,30,Sí,376,0,0,1,0,0,0,Empresarial,Centro
CLI10098,Masculino,No,45,Sí,+20annos,Bajo,1,Generacion X,91295,1652,50,No,396,0,1,0,0,0,2,Servicios,Sur
CLI10099,Femenino,No,31,Sí,<10annos,Bajo,5,Millennials,21062,1698,30,No,358,0,0,0,0,1,3,Técnico,Noroeste
CLI101,Masculino,Sí,33,No,10-20annos,Medio,3,Millennials,26010,1169,30,Sí,152,1,0,0,0,0,0,Técnico,Levante
CLI1010,Femenino,No,44,No,+20annos,Bajo,3,Generacion X,82413,709,30,Sí,128,1,0,0,0,0,2,Funcionario,Noreste
CLI10100,Masculino,No,33,Sí,10-20annos,Bajo,1,Millennials,22697,2043,30,No,448,0,0,1,0,0,0,Funcionario,Norte
CLI10101,Femenino,No,33,Sí,10-20annos,Bajo,1,Millennials,22806,1008,30,No,134,1,0,0,0,0,0,Funcionario,Centro
CLI10102,Femenino,No,42,Sí,+20annos,Bajo,2,Millennials,42794,893,50,No,474,0,0,1,0,0,0,Servicios,Norte
CLI10103,Masculino,Sí,47,Sí,+20annos,Bajo,1,Generacion X,115634,818,50,No,395,0,0,1,0,0,2,Servicios,Centro
CLI10104,Masculino,No,32,Sí,10-20annos,Bajo,1,Millennials,19515,1192,30,No,543,0,0,0,1,0,0,Otros,Sur
CLI10105,Femenino,No,33,Sí,10-20annos,Bajo,3,Millennials,24037,1859,30,No,129,1,0,0,0,0,0,Funcionario,Noroeste
CLI10106,Masculino,Sí,30,Sí,<10annos,Bajo,2,Millennials,30553,1813,30,Sí,108,1,0,0,0,0,0,Funcionario,Noreste
CLI10107,Femenino,Sí,53,Sí,+20annos,Medio,2,Generacion X,112595,1287,50,No,353,0,0,0,0,1,2,Servicios,Noroeste
CLI10108,Femenino,No,56,Sí,+20annos,Bajo,1,Generacion X,42569,759,50,No,498,0,0,1,0,0,2,Servicios,Noroeste
CLI10109,Femenino,No,53,Sí,+20annos,Bajo,1,Generacion X,129312,974,50,No,188,1,0,0,0,0,2,Empresarial,Noreste
CLI1011,Masculino,No,52,Sí,+20annos,Bajo,1,Generacion X,79139,1658,50,No,452,0,1,0,0,0,2,Servicios,Noroeste
CLI10110,Femenino,No,31,Sí,<10annos,Bajo,1,Millennials,21533,1974,30,No,504,0,0,0,1,0,0,Empresarial,Sur
CLI10111,Femenino,No,44,Sí,+20annos,Bajo,1,Generacion X,86268,1146,50,No,351,0,0,0,0,1,2,Servicios,Centro
CLI10112,Masculino,Sí,56,Sí,+20annos,Bajo,2,Generacion X,91677,896,50,Sí,222,1,0,0,0,0,2,Servicios,Levante
CLI10113,Femenino,Sí,40,No,10-20annos,Bajo,2,Millennials,49599,1468,30,No,416,0,0,1,0,0,0,Empresarial,Centro
CLI10114,Femenino,No,56,Sí,+20annos,Bajo,1,Generacion X,67106,759,50,No,56,1,0,0,0,0,2,Empresarial,Levante
CLI10115,Masculino,Sí,50,Sí,+20annos,Alto,4,Generacion X,67996,7,80,Sí,137,1,0,0,0,0,1,Empresarial,Noroeste
CLI10116,Masculino,No,44,Sí,+20annos,Bajo,1,Generacion X,109040,1261,50,Sí,218,1,0,0,0,0,2,Servicios,Centro
CLI10117,Masculino,No,44,Sí,+20annos,Bajo,1,Generacion X,125899,1629,50,Sí,199,1,0,0,0,0,2,Servicios,Norte
CLI10118,Masculino,Sí,45,Sí,+20annos,Bajo,2,Generacion X,108619,1606,50,No,492,0,1,0,0,0,2,Servicios,Noroeste
CLI10119,Masculino,Sí,47,Sí,+20annos,Medio,4,Generacion X,98845,1306,80,Sí,306,0,0,0,0,1,4,Otros,Sur
CLI1012,Masculino,Sí,57,Sí,+20annos,Medio,4,Generacion X,117511,1091,80,No,154,1,0,0,0,0,1,Otros,Periferia
CLI10121,Masculino,No,25,No,<10annos,Bajo,4,Generacion Z,31975,1926,30,No,431,0,0,1,0,0,3,Funcionario,Noreste
CLI10122,Femenino,No,34,No,10-20annos,Bajo,3,Millennials,21526,893,30,No,527,0,0,0,1,0,0,Técnico,Centro
CLI10123,Femenino,Sí,46,Sí,+20annos,Bajo,2,Generacion X,126327,1404,50,No,539,0,1,0,0,0,2,Otros,Noreste
CLI10124,Masculino,Sí,67,No,+20annos,Bajo,1,Generacion X,108904,1248,120,No,170,1,0,0,0,0,2,Servicios,Noroeste
CLI10125,Femenino,Sí,50,Sí,+20annos,Bajo,1,Generacion X,44584,1639,50,No,311,0,0,0,0,1,2,Construcción,Norte
CLI10126,Femenino,Sí,69,Sí,+20annos,Bajo,1,Generacion X,39911,16,50,Sí,301,0,0,0,0,1,2,Servicios,Norte
CLI10127,Masculino,Sí,95,No,+20annos,Bajo,1,Generacion Silenciosa,42398,642,30,Sí,230,1,0,0,0,0,2,Servicios,Centro
CLI10128,Femenino,Sí,74,No,+20annos,Alto,3,Generacion X,87994,1013,30,Sí,398,0,0,1,0,0,1,Técnico,Noreste
CLI10129,Masculino,Sí,78,No,+20annos,Alto,3,Generacion X,56726,955,30,No,122,1,0,0,0,0,1,Empresarial,Centro
CLI1013,Femenino,Sí,63,Sí,+20annos,Medio,2,Generacion X,108660,1502,50,Sí,374,0,0,1,0,0,1,Empresarial,Noroeste
CLI10130,Femenino,Sí,47,No,+20annos,Bajo,2,Generacion X,67201,1404,30,Sí,358,0,0,0,0,1,2,Otros,Noroeste
CLI10132,Masculino,Sí,52,No,+20annos,Bajo,2,Generacion X,53670,1404,30,No,464,0,0,1,0,0,2,Otros,Noroeste
CLI10133,Femenino,Sí,58,Sí,+20annos,Medio,4,Generacion X,114237,117,80,Sí,139,1,0,0,0,0,1,Servicios,Noroeste
CLI10134,Femenino,Sí,40,No,10-20annos,Medio,2,Millennials,22365,1468,30,No,143,1,0,0,0,0,0,Otros,Periferia
CLI10135,Masculino,Sí,39,No,10-20annos,Bajo,1,Millennials,30486,1054,30,Sí,399,0,0,1,0,0,0,Otros,Sur
CLI10136,Femenino,Sí,53,Sí,+20annos,Alto,4,Generacion X,22129,1697,30,No,264,1,0,0,0,0,4,Servicios,Noreste
CLI10137,Femenino,Sí,66,Sí,+20annos,Bajo,3,Generacion X,105751,955,80,No,207,1,0,0,0,0,2,Servicios,Norte
CLI10138,Femenino,Sí,50,No,+20annos,Bajo,1,Generacion X,60408,1443,30,Sí,172,1,0,0,0,0,2,Empresarial,Noroeste
CLI10139,Femenino,Sí,46,No,+20annos,Bajo,2,Generacion X,53037,994,30,No,186,1,0,0,0,0,2,Técnico,Centro
CLI1014,Masculino,No,41,Sí,10-20annos,Bajo,3,Millennials,44266,133,30,No,521,0,1,0,0,0,0,Servicios,Sur
CLI10140,Femenino,Sí,98,Sí,+20annos,Bajo,1,Generacion Silenciosa,113338,955,50,No,72,1,0,0,0,0,2,Servicios,Sur
CLI10141,Femenino,No,25,No,<10annos,Bajo,2,Generacion Z,29804,2823,30,Sí,121,1,0,0,0,0,3,Empresarial,Levante
CLI10142,Masculino,Sí,51,Sí,+20annos,Bajo,1,Generacion X,120379,1737,50,No,577,0,1,0,0,0,2,Construcción,Periferia
CLI10143,Masculino,No,24,No,<10annos,Bajo,4,Generacion Z,16208,1719,30,No,144,1,0,0,0,0,3,Servicios,Noreste
CLI10144,Femenino,No,33,No,10-20annos,Bajo,7,Millennials,20208,179,30,Sí,378,0,0,1,0,0,3,Funcionario,Norte
CLI10145,Masculino,Sí,64,Sí,+20annos,Bajo,1,Generacion X,95401,1717,50,No,366,0,1,0,0,0,2,Otros,Periferia
CLI10146,Masculino,Sí,80,Sí,+20annos,Medio,4,Generacion Silenciosa,126109,7,80,Sí,393,0,0,1,0,0,1,Servicios,Norte
CLI10147,Femenino,Sí,78,Sí,+20annos,Bajo,1,Generacion X,59401,1013,50,No,504,0,0,0,1,0,2,Servicios,Centro
CLI10148,Femenino,Sí,39,No,10-20annos,Bajo,5,Millennials,21647,2043,30,No,468,0,0,1,0,0,3,Técnico,Noreste
CLI10149,Masculino,Sí,57,Sí,+20annos,Medio,4,Generacion X,63920,1697,80,No,465,0,0,1,0,0,4,Otros,Noreste
CLI1015,Masculino,Sí,66,Sí,+20annos,Bajo,1,Generacion X,127240,955,50,Sí,274,1,0,0,0,0,2,Servicios,Noroeste
CLI10150,Masculino,Sí,92,Sí,+20annos,Bajo,2,Generacion Silenciosa,99774,1013,50,No,570,0,0,0,1,0,1,Servicios,Centro
CLI10151,Masculino,Sí,52,Sí,+20annos,Medio,5,Generacion X,90733,955,30,Sí,365,1,0,0,0,0,4,Otros,Noroeste
CLI10152,Masculino,Sí,43,No,+20annos,Bajo,2,Millennials,48755,1399,30,No,233,1,0,0,0,0,0,Empresarial,Noroeste
CLI10153,Femenino,Sí,44,No,+20annos,Bajo,3,Generacion X,126981,732,200,No,378,0,0,1,0,0,2,Técnico,Centro
CLI10154,Femenino,No,51,Sí,+20annos,Bajo,1,Generacion X,86166,117,50,No,368,0,0,1,0,0,2,Servicios,Norte
CLI10155,Masculino,No,44,Sí,+20annos,Bajo,2,Generacion X,44559,11,50,No,106,1,0,0,0,0,2,Servicios,Norte
CLI10156,Femenino,No,30,No,<10annos,Bajo,6,Millennials,28770,801,30,Sí,117,1,0,0,0,0,3,Servicios,Noroeste
CLI10157,Femenino,No,25,No,<10annos,Bajo,4,Generacion Z,28516,2202,30,No,125,1,0,0,0,0,3,Funcionario,Sur
CLI10158,Femenino,No,23,Sí,<10annos,Bajo,2,Generacion Z,14041,2789,30,Sí,188,1,0,0,0,0,3,Servicios,Noroeste
CLI10159,Masculino,Sí,77,No,+20annos,Alto,2,Generacion X,52019,896,30,No,314,0,0,0,0,1,1,Servicios,Levante
CLI1016,Masculino,Sí,47,Sí,+20annos,Alto,3,Generacion X,52676,622,30,No,291,1,0,0,0,0,4,Empresarial,Centro
CLI10160,Masculino,Sí,31,Sí,<10annos,Bajo,2,Millennials,23410,1675,30,No,182,1,0,0,0,0,0,Otros,Periferia
CLI10161,Femenino,Sí,64,Sí,+20annos,Bajo,4,Generacion X,78658,1385,80,No,549,0,1,0,0,0,2,Construcción,Noroeste
CLI10162,Femenino,Sí,30,Sí,<10annos,Medio,2,Millennials,19097,1468,30,No,466,0,0,1,0,0,0,Otros,Centro
CLI10163,Femenino,Sí,54,No,+20annos,Medio,5,Generacion X,26098,1209,30,No,136,1,0,0,0,0,4,Técnico,Noroeste
CLI10164,Femenino,Sí,41,No,10-20annos,Medio,3,Millennials,31365,1698,30,No,65,1,0,0,0,0,0,Técnico,Periferia
CLI10165,Masculino,Sí,43,No,+20annos,Medio,4,Millennials,89250,1606,30,Sí,366,0,0,1,0,0,4,Otros,Noroeste
CLI10166,Femenino,No,31,No,<10annos,Bajo,4,Millennials,28281,202,30,No,177,1,0,0,0,0,0,Técnico,Norte
CLI10167,Masculino,Sí,80,No,+20annos,Medio,2,Generacion Silenciosa,53497,115,30,No,176,1,0,0,0,0,1,Otros,Levante
CLI10168,Femenino,Sí,56,Sí,+20annos,Medio,5,Generacion X,43550,1502,30,No,87,1,0,0,0,0,4,Servicios,Noroeste
CLI10169,Femenino,Sí,53,Sí,+20annos,Medio,3,Generacion X,66112,564,80,No,543,0,0,0,1,0,1,Técnico,Noroeste
CLI1017,Masculino,Sí,41,Sí,10-20annos,Bajo,1,Millennials,124759,1721,50,No,554,0,1,0,0,0,2,Otros,Periferia
CLI10170,Masculino,Sí,79,Sí,+20annos,Bajo,1,Generacion Silenciosa,34814,1111,30,Sí,119,1,0,0,0,0,2,Construcción,Noroeste
CLI10171,Masculino,Sí,52,No,+20annos,Medio,1,Generacion X,88831,1013,120,No,480,0,0,1,0,0,2,Servicios,Centro
CLI10172,Femenino,Sí,74,Sí,+20annos,Bajo,1,Generacion X,32236,1678,30,No,251,1,0,0,0,0,2,Técnico,Periferia
CLI10173,Masculino,Sí,85,Sí,+20annos,Alto,2,Generacion Silenciosa,41602,1502,50,No,284,1,0,0,0,0,1,Servicios,Centro
CLI10174,Masculino,Sí,51,Sí,+20annos,Medio,3,Generacion X,81028,857,80,No,490,0,0,1,0,0,1,Servicios,Centro
CLI10175,Femenino,Sí,57,Sí,+20annos,Medio,4,Generacion X,60728,74,80,No,178,1,0,0,0,0,1,Servicios,Noroeste
CLI10176,Masculino,Sí,74,No,+20annos,Bajo,1,Generacion X,56887,1502,30,No,545,0,0,0,1,0,2,Servicios,Centro
CLI10177,Masculino,Sí,68,Sí,+20annos,Medio,4,Generacion X,33016,1091,30,No,149,1,0,0,0,0,4,Técnico,Norte
