ID,Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Profesion_Construcción,Profesion_Empresarial,Profesion_Funcionario,Profesion_Otros,Profesion_Servicios,Profesion_Técnico,Zona_Centro,Zona_Levante,Zona_Noreste,Zona_Noroeste,Zona_Norte,Zona_Periferia,Zona_Sur,Campaña__0,Campaña__1,Campaña__3,Campaña__4,Campaña__5
CLI10088,1,0,33,0,1,0,3,1991,2,18298,847,30,0,519,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CLI10089,0,0,45,1,2,0,1,1979,1,91130,663,50,0,288,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CLI1009,1,0,41,1,1,0,1,1983,2,100722,156,50,0,95,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
CLI10090,1,1,46,1,2,0,3,1978,1,39822,115,30,0,197,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10091,0,1,44,1,2,2,5,1980,1,65803,1307,30,0,577,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
CLI10092,1,0,40,1,1,0,1,1984,2,82317,1744,50,1,270,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CLI10093,0,0,43,1,2,0,1,1981,2,36678,1928,50,1,294,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
CLI10094,1,1,44,1,2,2,3,1980,1,121189,1146,200,0,400,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CLI10095,0,1,44,1,2,1,2,1980,1,59561,1238,50,0,245,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
CLI10096,1,0,31,1,0,0,6,1993,2,28964,686,30,1,379,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10097,0,0,34,1,1,0,1,1990,2,20958,1008,30,1,376,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10098,1,0,45,1,2,0,1,1979,1,91295,1652,50,0,396,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
CLI10099,0,0,31,1,0,0,5,1993,2,21062,1698,30,0,358,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
CLI101,1,1,33,0,1,1,3,1991,2,26010,1169,30,1,152,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
CLI1010,0,0,44,0,2,0,3,1980,1,82413,709,30,1,128,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CLI10100,1,0,33,1,1,0,1,1991,2,22697,2043,30,0,448,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CLI10101,0,0,33,1,1,0,1,1991,2,22806,1008,30,0,134,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CLI10102,0,0,42,1,2,0,2,1982,2,42794,893,50,0,474,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
CLI10103,1,1,47,1,2,0,1,1977,1,115634,818,50,0,395,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10104,1,0,32,1,1,0,1,1992,2,19515,1192,30,0,543,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
CLI10105,0,0,33,1,1,0,3,1991,2,24037,1859,30,0,129,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10106,1,1,30,1,0,0,2,1994,2,30553,1813,30,1,108,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CLI10107,0,1,53,1,2,1,2,1971,1,112595,1287,50,0,353,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
CLI10108,0,0,56,1,2,0,1,1968,1,42569,759,50,0,498,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
CLI10109,0,0,53,1,2,0,1,1971,1,129312,974,50,0,188,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CLI1011,1,0,52,1,2,0,1,1972,1,79139,1658,50,0,452,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
CLI10110,0,0,31,1,0,0,1,1993,2,21533,1974,30,0,504,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
CLI10111,0,0,44,1,2,0,1,1980,1,86268,1146,50,0,351,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
CLI10112,1,1,56,1,2,0,2,1968,1,91677,896,50,1,222,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CLI10113,0,1,40,0,1,0,2,1984,2,49599,1468,30,0,416,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10114,0,0,56,1,2,0,1,1968,1,67106,759,50,0,56,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CLI10115,1,1,50,1,2,2,4,1974,1,67996,7,80,1,137,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10116,1,0,44,1,2,0,1,1980,1,109040,1261,50,1,218,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
CLI10117,1,0,44,1,2,0,1,1980,1,125899,1629,50,1,199,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CLI10118,1,1,45,1,2,0,2,1979,1,108619,1606,50,0,492,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
CLI10119,1,1,47,1,2,1,4,1977,1,98845,1306,80,1,306,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CLI1012,1,1,57,1,2,1,4,1967,1,117511,1091,80,0,154,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CLI10121,1,0,25,0,0,0,4,1999,3,31975,1926,30,0,431,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CLI10122,0,0,34,0,1,0,3,1990,2,21526,893,30,0,527,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
CLI10123,0,1,46,1,2,0,2,1978,1,126327,1404,50,0,539,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CLI10124,1,1,67,0,2,0,1,1957,1,108904,1248,120,0,170,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10125,0,1,50,1,2,0,1,1974,1,44584,1639,50,0,311,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CLI10126,0,1,69,1,2,0,1,1955,1,39911,16,50,1,301,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
CLI10127,1,1,95,0,2,0,1,1929,0,42398,642,30,1,230,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
CLI10128,0,1,74,0,2,2,3,1950,1,87994,1013,30,1,398,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
CLI10129,1,1,78,0,2,2,3,1946,1,56726,955,30,0,122,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CLI1013,0,1,63,1,2,1,2,1961,1,108660,1502,50,1,374,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CLI10130,0,1,47,0,2,0,2,1977,1,67201,1404,30,1,358,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CLI10132,1,1,52,0,2,0,2,1972,1,53670,1404,30,0,464,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CLI10133,0,1,58,1,2,1,4,1966,1,114237,117,80,1,139,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10134,0,1,40,0,1,1,2,1984,2,22365,1468,30,0,143,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CLI10135,1,1,39,0,1,0,1,1985,2,30486,1054,30,1,399,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CLI10136,0,1,53,1,2,2,4,1971,1,22129,1697,30,0,264,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
CLI10137,0,1,66,1,2,0,3,1958,1,105751,955,80,0,207,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CLI10138,0,1,50,0,2,0,1,1974,1,60408,1443,30,1,172,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10139,0,1,46,0,2,0,2,1978,1,53037,994,30,0,186,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
CLI1014,1,0,41,1,1,0,3,1983,2,44266,133,30,0,521,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
CLI10140,0,1,98,1,2,0,1,1926,0,113338,955,50,0,72,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
CLI10141,0,0,25,0,0,0,2,1999,3,29804,2823,30,1,121,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CLI10142,1,1,51,1,2,0,1,1973,1,120379,1737,50,0,577,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CLI10143,1,0,24,0,0,0,4,2000,3,16208,1719,30,0,144,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
CLI10144,0,0,33,0,1,0,7,1991,2,20208,179,30,1,378,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CLI10145,1,1,64,1,2,0,1,1960,1,95401,1717,50,0,366,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CLI10146,1,1,80,1,2,1,4,1944,0,126109,7,80,1,393,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
CLI10147,0,1,78,1,2,0,1,1946,1,59401,1013,50,0,504,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
CLI10148,0,1,39,0,1,0,5,1985,2,21647,2043,30,0,468,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
CLI10149,1,1,57,1,2,1,4,1967,1,63920,1697,80,0,465,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CLI1015,1,1,66,1,2,0,1,1958,1,127240,955,50,1,274,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10150,1,1,92,1,2,0,2,1932,0,99774,1013,50,0,570,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
CLI10151,1,1,52,1,2,1,5,1972,1,90733,955,30,1,365,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10152,1,1,43,0,2,0,2,1981,2,48755,1399,30,0,233,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10153,0,1,44,0,2,0,3,1980,1,126981,732,200,0,378,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
CLI10154,0,0,51,1,2,0,1,1973,1,86166,117,50,0,368,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
CLI10155,1,0,44,1,2,0,2,1980,1,44559,11,50,0,106,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CLI10156,0,0,30,0,0,0,6,1994,2,28770,801,30,1,117,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10157,0,0,25,0,0,0,4,1999,3,28516,2202,30,0,125,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CLI10158,0,0,23,1,0,0,2,2001,3,14041,2789,30,1,188,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10159,1,1,77,0,2,2,2,1947,1,52019,896,30,0,314,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
CLI1016,1,1,47,1,2,2,3,1977,1,52676,622,30,0,291,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CLI10160,1,1,31,1,0,0,2,1993,2,23410,1675,30,0,182,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CLI10161,0,1,64,1,2,0,4,1960,1,78658,1385,80,0,549,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CLI10162,0,1,30,1,0,1,2,1994,2,19097,1468,30,0,466,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10163,0,1,54,0,2,1,5,1970,1,26098,1209,30,0,136,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CLI10164,0,1,41,0,1,1,3,1983,2,31365,1698,30,0,65,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
CLI10165,1,1,43,0,2,1,4,1981,2,89250,1606,30,1,366,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CLI10166,0,0,31,0,0,0,4,1993,2,28281,202,30,0,177,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
CLI10167,1,1,80,0,2,1,2,1944,0,53497,115,30,0,176,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CLI10168,0,1,56,1,2,1,5,1968,1,43550,1502,30,0,87,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10169,0,1,53,1,2,1,3,1971,1,66112,564,80,0,543,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
CLI1017,1,1,41,1,1,0,1,1983,2,124759,1721,50,0,554,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CLI10170,1,1,79,1,2,0,1,1945,0,34814,1111,30,1,119,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CLI10171,1,1,52,0,2,1,1,1972,1,88831,1013,120,0,480,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
